시,빈도수,Top
0,35,1
1,52,1
2,39,1
3,26,1
4,8,1
5,10,1
6,30,1
7,23,1
8,82,1
9,71,1
10,46,1
11,59,1
12,85,1
13,90,1
14,108,1
15,146,1
16,149,1
17,111,1
18,137,1
19,136,1
20,107,1
21,115,1
22,85,1
23,49,1
0,21,2
1,15,2
2,3,2
3,2,2
4,1,2
5,2,2
6,16,2
7,38,2
8,102,2
9,55,2
10,32,2
11,58,2
12,65,2
13,94,2
14,116,2
15,133,2
16,167,2
17,121,2
18,193,2
19,144,2
20,95,2
21,106,2
22,78,2
23,71,2
0,14,3
1,20,3
2,11,3
3,3,3
4,4,3
5,0,3
6,6,3
7,99,3
8,120,3
9,47,3
10,25,3
11,58,3
12,90,3
13,97,3
14,113,3
15,138,3
16,138,3
17,147,3
18,143,3
19,93,3
20,100,3
21,72,3
22,45,3
23,42,3
